00:00:00,D1,MP30,00:00:00,"(16.32809608747469, 48.23557574499396)","(16.432249268376808, 48.19115742917694)",3,,,,,,
00:00:00,D2,MP20,00:00:00,"(16.31361904879535, 48.14469439068878)","(16.35029992045258, 48.22374072954356)",1,,,,,,
00:00:00,D3,MP20,00:00:01,"(16.393581795118127, 48.268006659645145)","(16.352006550504562, 48.20821932672785)",1,,,,,,
00:00:00,D4,MP20,00:00:02,"(16.35871554215103, 48.23624985399143)","(16.36133057007419, 48.21106787683814)",2,,,,,,
00:00:00,D5,MP20,00:00:02,"(16.332667561100568, 48.15682105429872)","(16.377016833869014, 48.210655740552276)",3,,,,,,
00:00:00,D6,MP20,00:00:03,"(16.337976576138214, 48.19263121753034)","(16.381172894267806, 48.197017555489815)",1,,,,,,
00:00:00,D7,MP30,00:00:04,"(16.34024576775175, 48.24117004834193)","(16.355000900969376, 48.18267170016462)",2,,,,,,
00:00:00,D8,MP20,00:00:06,"(16.44558023481531, 48.238108380742595)","(16.367592307567055, 48.21419489542616)",3,,,,,,
00:00:00,D9,MP30,00:00:06,"(16.341427128179888, 48.16310571061347)","(16.357413299300152, 48.207862600061446)",3,,,,,,
00:00:00,D10,MP30,00:00:10,"(16.344734091539348, 48.21145895095763)","(16.30952055454922, 48.23578371059723)",1,,,,,,
00:00:00,D11,MP20,00:00:11,"(16.340647105801335, 48.20110595300276)","(16.36133057007419, 48.21106787683814)",3,,,,,,
00:00:00,D12,MP20,00:00:16,"(16.36055301482749, 48.17543614012348)","(16.382795223155753, 48.211065809075166)",3,,,,,,
00:00:00,D13,MP30,00:00:17,"(16.322815187787523, 48.24497506228308)","(16.37753627364351, 48.21748831909585)",2,,,,,,
00:00:00,D14,MP20,00:00:22,"(16.278122519835897, 48.23183482590699)","(16.356515361806014, 48.20628805370839)",3,,,,,,
00:00:00,D15,MP30,00:00:22,"(16.27298229498073, 48.19627260215861)","(16.345948174415344, 48.185646482422754)",1,,,,,,
00:00:00,D16,MP30,00:00:24,"(16.30957174463474, 48.218618509831636)","(16.372875162350123, 48.214978148265445)",3,,,,,,
00:00:00,D17,MP20,00:00:25,"(16.46324311780793, 48.19362149588829)","(16.354787446442437, 48.194645217623744)",3,,,,,,
00:00:00,D18,MP20,00:00:26,"(16.379000792488853, 48.1499746187323)","(16.26018903828982, 48.206791604067334)",2,,,,,,
00:00:00,D19,MP30,00:00:29,"(16.39306660206189, 48.24905075074234)","(16.324102599184013, 48.19434720065651)",3,,,,,,
00:00:00,D20,MP30,00:00:29,"(16.375317521557434, 48.19741922355578)","(16.341257356955772, 48.14417772930196)",2,,,,,,
00:00:00,D21,MP30,00:00:29,"(16.33979576775175, 48.24117004834193)","(16.27783019789362, 48.238164372342645)",3,,,,,,
00:00:00,D22,MP30,00:00:32,"(16.34885434461354, 48.208793826005234)","(16.37182699656943, 48.20104735730062)",2,,,,,,
00:00:00,D23,MP20,00:00:34,"(16.332667561100568, 48.15682105429872)","(16.3694940703283, 48.2038175650211)",2,,,,,,
00:00:00,D24,MP20,00:00:35,"(16.41248016786417, 48.26124929704659)","(16.355364046793433, 48.22930957890687)",3,,,,,,
00:00:00,D25,MP30,00:00:37,"(16.337976576138214, 48.19263121753034)","(16.345948174415344, 48.185646482422754)",3,,,,,,
00:00:00,D26,MP20,00:00:40,"(16.348918996481032, 48.19579100096579)","(16.460586321420482, 48.190800713045505)",2,352,16.459686320520483,16.461486322320482,48.1899007121455,48.19170071394551,
00:00:00,D27,MP20,00:00:41,"(16.33979576775175, 48.24117004834193)","(16.43285464260785, 48.182040980006086)",2,,,,,,
00:00:00,D28,MP20,00:00:44,"(16.42543693511913, 48.21068159391)","(16.35059852459093, 48.183081443300246)",3,,,,,,
00:00:00,D29,MP20,00:00:45,"(16.31361904879535, 48.14469439068878)","(16.349007896431356, 48.19287000100653)",2,,,,,,
00:00:00,D30,MP30,00:00:49,"(16.404765258242385, 48.176331112656236)","(16.432249268376808, 48.19115742917694)",3,,,,,,
00:00:00,D31,MP30,00:00:50,"(16.365597730629187, 48.181712452681516)","(16.361326897919884, 48.23122047157093)",1,,,,,,
00:00:00,D32,MP30,00:00:52,"(16.27298229498073, 48.19627260215861)","(16.3552697756088, 48.22695200594836)",3,,,,,,
00:00:00,D33,MP20,00:00:52,"(16.34997314868886, 48.20801616842609)","(16.38820629812941, 48.20608510030404)",1,,,,,,
00:00:00,D34,MP20,00:01:04,"(16.34966658122947, 48.20951880233576)","(16.325228988275228, 48.20143335068795)",2,,,,,,
00:00:00,D35,MP30,00:01:07,"(16.313469350889985, 48.251435149328145)","(16.425119914075044, 48.148459405419985)",3,,,,,,
00:00:00,D36,MP30,00:01:08,"(16.323142892559193, 48.25767715620347)","(16.421348816164528, 48.26134046455058)",3,,,,,,
00:00:00,D37,MP20,00:01:11,"(16.39272614884457, 48.15305348714484)","(16.30967516038842, 48.241838197470784)",2,,,,,,
00:00:00,D38,MP30,00:01:14,"(16.351801273549512, 48.23858834999463)","(16.373858577365276, 48.207272534048705)",1,,,,,,
00:00:00,D39,MP30,00:01:15,"(16.426831331578736, 48.24466592127559)","(16.361036866771546, 48.21417894754371)",1,,,,,,
